citing_id,cited_id
480,967
481,902
483,698
483,656
484,397
484,5985
485,703
486,397
486,1036
487,518
487,854
487,876
487,540
487,1079
488,397
488,3113
488,951
488,584
489,298
489,299
489,2291
489,1756
489,596
489,2489
489,604
489,951
489,577
490,518
490,854
490,540
490,1079
492,893
493,526
493,780
493,528
494,2816
494,2669
494,888
494,2824
494,617
494,823
494,735
496,594
496,646
496,595
496,742
496,1086
496,649
496,1517
496,792
496,889
496,939
496,943
496,549
496,2392
496,853
497,5270
497,397
497,701
497,764
497,782
498,546
499,703
500,596
500,747
500,794
500,940
500,604
500,703
500,499
500,553
500,845
500,364
500,664
500,952
500,558
500,616
500,517
500,966
500,577
1522,1301
3214,1301
2502,1301
1918,1301
141,1301
2228,1301
1696,1301
392,1301
2570,1301
1996,1302
1959,1303
4629,1304
1674,1304
4321,1304
2110,1305
1316,1305
1996,1305
1310,1306
1307,1308
1970,1309
2077,1310
2446,1310
856,1310
1306,1310
2383,1311
1305,1312
1316,1312
1996,1316
5227,1323
4385,1323
1806,1323
261,1323
1903,1323
124,1323
1422,1323
5501,1323
2209,1323
503,1323
330,1323
4457,1323
4144,1323
5260,1323
5793,1323
4720,1324
1613,1324
1185,1324
1576,1324
5100,1324
1768,1324
1619,1324
2444,1324
1677,1324
1583,1324
2307,1324
1339,1324
1588,1324
1682,1324
1783,1324
1202,1324
1302,1324
1833,1324
2277,1324
1735,1324
2558,1324
2040,1324
1989,1324
2467,1324
2562,1324
2419,1324
2236,1324
1997,1324
2045,1324
2195,1326
2059,1326
4979,1326
1679,1326
1340,1326
1202,1326
1544,1326
2513,1326
1503,1326
1862,1327
5860,1327
1764,1327
1768,1327
1671,1327
1970,1327
1583,1327
2112,1327
1430,1327
1588,1327
1683,1327
1345,1327
1982,1328
2132,1328
1227,1329
1383,1329
5600,1329
1227,1330
2102,1330
2576,1330
2508,1330
979,1330
2475,1331
752,1331
2383,1332
1329,1332
2493,1332
1588,1332
1436,1332
1842,1332
1843,1332
1046,1333
1351,1333
1130,1333
1177,1333
70,1334
3214,1334
3215,1334
3036,1334
2646,1334
4309,1334
1392,1334
1341,1334
1685,1334
230,1334
1301,1334
339,1334
2228,1334
2229,1334
2558,1334
2232,1334
2142,1334
1459,1334
1367,1334
1326,1336
2059,1336
2220,1336
2843,1336
1544,1336
1503,1336
2079,1337
1339,1337
1783,1337
4756,1337
1711,1338
3266,1338
2496,1338
1585,1338
2845,1338
3678,1338
886,1339
215,1339
1302,1339
3215,1341
1334,1341
230,1341
832,1341
1766,1342
2597,1342
2195,1343
1517,1343
1817,1343
567,1343
568,1343
1359,1343
2042,1343
1644,1344
1430,1345
1588,1345
2230,1346
1783,1347
1653,1347
1340,1348
1380,1349
2234,1349
1463,1349
1185,1352
1613,1353
1845,1353
2486,1354
2461,1354
2230,1354
1752,1354
1350,1355
1494,1356
141,1356
1363,1356
1170,1358
1750,1358
1517,1359
1227,1360
2376,1361
1888,1362
2955,1362
2935,1363
1356,1363
1471,1365
1763,1365
3299,1365
2255,1368
4566,1369
301,1370
3640,1370
15,1370
118,1370
122,1370
1862,1370
2102,1370
1420,1370
1276,1370
5760,1370
3061,1370
3499,1370
3017,1370
125,1370
2208,1370
3161,1370
3121,1370
2826,1370
3024,1370
5326,1370
3123,1370
3653,1370
3266,1370
2295,1370
1767,1370
3027,1370
1235,1370
3269,1370
3270,1370
3167,1370
3064,1370
3360,1370
1817,1370
3654,1370
3168,1370
2727,1370
3069,1370
1620,1370
3316,1370
2539,1370
3508,1370
2106,1370
4502,1370
3416,1370
998,1370
3321,1370
4874,1370
1338,1370
4979,1370
3367,1370
2990,1370
2737,1370
2649,1370
3474,1370
3422,1370
181,1370
2651,1370
1588,1370
3184,1370
2116,1370
2547,1370
3520,1370
3427,1370
2932,1370
2992,1370
3192,1370
3373,1370
3043,1370
1056,1370
3577,1370
3044,1370
3375,1370
2936,1370
3193,1370
4558,1370
1347,1370
2312,1370
3332,1370
2845,1370
3139,1370
3523,1370
5072,1370
3719,1370
3620,1370
141,1370
2125,1370
1544,1370
2995,1370
2943,1370
1932,1370
3437,1370
3529,1370
2607,1370
2801,1370
2042,1370
3244,1370
4239,1370
2804,1370
3630,1370
4055,1370
2324,1370
2859,1370
4806,1370
4575,1370
3541,1370
1707,1371
2097,1371
545,1371
2147,1371
1418,1371
112,1371
1517,1371
1519,1371
118,1371
1276,1371
3499,1371
1614,1371
2206,1371
2208,1371
3161,1371
3121,1371
2532,1371
2061,1371
1189,1371
2295,1371
1767,1371
3358,1371
3028,1371
3360,1371
2539,1371
1623,1371
2106,1371
3415,1371
2107,1371
1528,1371
1723,1371
2737,1371
2651,1371
3572,1371
2116,1371
2171,1371
1781,1371
1782,1371
3517,1371
5472,1371
2992,1371
3192,1371
2359,1371
1638,1371
3717,1371
2847,1371
1544,1371
2513,1371
2035,1371
2603,1371
1359,1371
3244,1371
4239,1371
5227,1372
1469,1372
2099,1372
989,1372
5237,1372
320,1372
2490,1372
1662,1372
2537,1372
503,1372
1286,1372
1333,1372
2396,1372
1289,1372
1874,1372
1633,1372
1254,1372
1301,1372
2460,1372
1351,1372
5783,1372
2514,1372
2413,1372
1264,1372
1269,1372
1411,1372
1177,1372
2383,1373
325,1373
1383,1373
1191,1373
2446,1373
2266,1373
2271,1373
2408,1373
2321,1373
57,1375
121,1375
324,1375
1381,1375
1423,1375
1385,1375
1486,1375
1392,1375
1489,1375
3083,1375
2887,1375
1494,1375
141,1375
1307,1375
2556,1375
243,1375
1459,1375
1414,1375
